"","trial_number","prob_same","response_number","time_taken","response_was_S","response_was_correct","target_response_switched","target_response_was_S","actual_response_switched","previous_actual_response_was_switch","previous_target_response_was_switch","previous_response_was_error","number_of_same_preceeding","number_of_different_preceeding"
"1",1,0.9,2,1867,1,1,1,1,0,0,0,0,0,0
"2",1,0.9,3,1036,1,1,0,1,0,0,1,0,1,0
"3",1,0.9,4,730,1,1,0,1,0,0,0,0,2,0
"4",1,0.9,5,632,1,1,0,1,0,0,0,0,3,0
"5",1,0.9,6,608,1,1,0,1,0,0,0,0,4,0
"6",1,0.9,7,584,1,1,0,1,0,0,0,0,5,0
"7",1,0.9,8,610,1,1,0,1,0,0,0,0,6,0
"8",1,0.9,9,568,1,1,0,1,0,0,0,0,7,0
"9",1,0.9,10,559,1,1,0,1,0,0,0,0,8,0
"10",1,0.9,11,574,1,1,0,1,0,0,0,0,9,0
"11",1,0.9,12,541,1,1,0,1,0,0,0,0,10,0
"12",1,0.9,13,558,1,1,0,1,0,0,0,0,11,0
"13",1,0.9,14,539,1,1,0,1,0,0,0,0,12,0
"14",1,0.9,15,556,1,1,0,1,0,0,0,0,13,0
"15",1,0.9,16,536,1,1,0,1,0,0,0,0,14,0
"16",1,0.9,17,568,1,1,0,1,0,0,0,0,15,0
"17",1,0.9,18,584,1,1,0,1,0,0,0,0,16,0
"18",1,0.9,19,557,1,1,0,1,0,0,0,0,17,0
"19",1,0.9,20,577,1,1,0,1,0,0,0,0,18,0
"20",1,0.9,21,567,1,1,0,1,0,0,0,0,19,0
"21",1,0.9,22,566,1,1,0,1,0,0,0,0,20,0
"22",1,0.9,23,548,1,1,0,1,0,0,0,0,21,0
"23",1,0.9,24,556,1,1,0,1,0,0,0,0,22,0
"24",1,0.9,25,539,1,1,0,1,0,0,0,0,23,0
"25",1,0.9,26,586,1,1,0,1,0,0,0,0,24,0
"26",1,0.9,27,533,1,1,0,1,0,0,0,0,25,0
"27",1,0.9,28,564,1,1,0,1,0,0,0,0,26,0
"28",1,0.9,29,570,1,1,0,1,0,0,0,0,27,0
"29",1,0.9,30,552,1,1,0,1,0,0,0,0,28,0
"30",1,0.9,31,906,0,1,1,0,1,0,0,0,0,0
"31",1,0.9,32,791,1,0,0,0,1,1,1,0,0,1
"32",1,0.9,33,1141,0,1,0,0,1,1,0,1,0,2
