"","trial_number","prob_same","response_number","time_taken","response_was_S","response_was_correct","target_response_switched","target_response_was_S","actual_response_switched","previous_actual_response_was_switch","previous_target_response_was_switch","previous_response_was_error","number_of_same_preceeding","number_of_different_preceeding"
"1",1,0.9,2,945,1,1,1,1,0,0,0,0,0,0
"2",1,0.9,3,911,0,1,1,0,1,0,1,0,0,0
"3",1,0.9,4,1432,0,1,0,0,0,1,1,0,0,1
"4",1,0.9,5,959,0,1,0,0,0,0,0,0,0,2
"5",1,0.9,6,881,0,1,0,0,0,0,0,0,0,3
"6",1,0.9,7,760,0,1,0,0,0,0,0,0,0,4
"7",1,0.9,8,888,0,1,0,0,0,0,0,0,0,5
"8",1,0.9,9,929,0,1,0,0,0,0,0,0,0,6
"9",1,0.9,10,1015,0,1,0,0,0,0,0,0,0,7
"10",1,0.9,11,752,0,1,0,0,0,0,0,0,0,8
"11",1,0.9,12,913,0,1,0,0,0,0,0,0,0,9
"12",1,0.9,13,847,0,1,0,0,0,0,0,0,0,10
"13",1,0.9,14,840,0,1,0,0,0,0,0,0,0,11
"14",1,0.9,15,792,0,1,0,0,0,0,0,0,0,12
"15",1,0.9,16,736,0,1,0,0,0,0,0,0,0,13
"16",1,0.9,17,752,0,1,0,0,0,0,0,0,0,14
"17",1,0.9,18,792,0,1,0,0,0,0,0,0,0,15
"18",1,0.9,19,736,0,1,0,0,0,0,0,0,0,16
"19",1,0.9,20,721,0,1,0,0,0,0,0,0,0,17
"20",1,0.9,21,751,0,1,0,0,0,0,0,0,0,18
"21",1,0.9,22,696,0,1,0,0,0,0,0,0,0,19
"22",1,0.9,23,770,0,1,0,0,0,0,0,0,0,20
"23",1,0.9,24,857,0,1,0,0,0,0,0,0,0,21
"24",1,0.9,25,813,0,1,0,0,0,0,0,0,0,22
"25",1,0.9,26,720,0,1,0,0,0,0,0,0,0,23
"26",1,0.9,27,704,0,1,0,0,0,0,0,0,0,24
"27",1,0.9,28,695,0,1,0,0,0,0,0,0,0,25
"28",1,0.9,29,754,0,1,0,0,0,0,0,0,0,26
"29",1,0.9,30,719,0,1,0,0,0,0,0,0,0,27
"30",1,0.9,31,968,0,1,0,0,0,0,0,0,0,28
"31",1,0.9,32,731,0,1,0,0,0,0,0,0,0,29
"32",1,0.9,33,751,0,1,0,0,0,0,0,0,0,30
"33",1,0.9,34,768,0,1,0,0,0,0,0,0,0,31
"34",1,0.9,35,718,0,0,1,1,0,0,0,0,0,0
"35",1,0.9,36,1216,1,1,0,1,1,0,1,1,1,0
"36",1,0.9,37,683,1,1,0,1,0,1,0,0,2,0
"37",1,0.9,38,725,1,1,0,1,0,0,0,0,3,0
"38",1,0.9,39,755,1,1,0,1,0,0,0,0,4,0
"39",1,0.9,40,662,1,1,0,1,0,0,0,0,5,0
"40",1,0.9,41,720,1,1,0,1,0,0,0,0,6,0
"41",1,0.9,42,664,1,1,0,1,0,0,0,0,7,0
"42",1,0.9,43,888,1,1,0,1,0,0,0,0,8,0
"43",1,0.9,44,759,1,1,0,1,0,0,0,0,9,0
"44",1,0.9,45,712,1,1,0,1,0,0,0,0,10,0
"45",1,0.9,46,633,1,1,0,1,0,0,0,0,11,0
"46",1,0.9,47,664,1,1,0,1,0,0,0,0,12,0
"47",1,0.9,48,680,1,1,0,1,0,0,0,0,13,0
"48",1,0.9,49,655,1,1,0,1,0,0,0,0,14,0
"49",1,0.9,50,753,0,1,1,0,1,0,0,0,0,0
"50",1,0.9,51,744,0,1,0,0,0,1,1,0,0,1
"51",1,0.9,52,731,0,1,0,0,0,0,0,0,0,2
"52",1,0.9,53,750,0,1,0,0,0,0,0,0,0,3
"53",1,0.9,54,855,0,1,0,0,0,0,0,0,0,4
"54",1,0.9,55,664,0,1,0,0,0,0,0,0,0,5
"55",1,0.9,56,928,0,1,0,0,0,0,0,0,0,6
"56",1,0.9,57,697,0,1,0,0,0,0,0,0,0,7
"57",1,0.9,58,829,0,1,0,0,0,0,0,0,0,8
"58",1,0.9,59,738,0,1,0,0,0,0,0,0,0,9
"59",1,0.9,60,768,0,1,0,0,0,0,0,0,0,10
"60",1,0.9,61,672,0,1,0,0,0,0,0,0,0,11
"61",1,0.9,62,648,0,1,0,0,0,0,0,0,0,12
"62",1,0.9,63,675,0,1,0,0,0,0,0,0,0,13
"63",1,0.9,64,669,0,1,0,0,0,0,0,0,0,14
"64",1,0.9,65,849,0,0,1,1,0,0,0,0,0,0
"65",1,0.9,66,999,1,1,0,1,1,0,1,1,1,0
"66",2,0.6,2,746,0,1,0,0,1,1,0,0,0,0
"67",2,0.6,3,958,1,1,1,1,1,1,0,0,0,0
"68",2,0.6,4,632,1,1,0,1,0,1,1,0,1,0
"69",2,0.6,5,640,1,1,0,1,0,0,0,0,2,0
"70",2,0.6,6,672,1,1,0,1,0,0,0,0,3,0
"71",2,0.6,7,701,0,1,1,0,1,0,0,0,0,0
"72",2,0.6,8,795,0,1,0,0,0,1,1,0,0,1
"73",2,0.6,9,848,0,1,0,0,0,0,0,0,0,2
"74",2,0.6,10,1048,1,1,1,1,1,0,0,0,0,0
"75",2,0.6,11,1025,0,1,1,0,1,1,1,0,0,0
"76",2,0.6,12,992,0,1,0,0,0,1,1,0,0,1
"77",2,0.6,13,679,0,1,0,0,0,0,0,0,0,2
"78",2,0.6,14,712,0,1,0,0,0,0,0,0,0,3
"79",2,0.6,15,672,0,1,0,0,0,0,0,0,0,4
"80",2,0.6,16,657,0,1,0,0,0,0,0,0,0,5
"81",2,0.6,17,687,0,1,0,0,0,0,0,0,0,6
"82",2,0.6,18,784,1,1,1,1,1,0,0,0,0,0
"83",2,0.6,19,992,0,1,1,0,1,1,1,0,0,0
"84",2,0.6,20,784,0,0,1,1,0,1,1,0,0,0
"85",2,0.6,21,1024,1,1,0,1,1,0,1,1,1,0
"86",2,0.6,22,744,1,1,0,1,0,1,0,0,2,0
"87",2,0.6,23,841,1,1,0,1,0,0,0,0,3,0
"88",2,0.6,24,720,0,1,1,0,1,0,0,0,0,0
"89",2,0.6,25,769,0,1,0,0,0,1,1,0,0,1
"90",2,0.6,26,691,0,0,1,1,0,0,0,0,0,0
"91",2,0.6,27,691,1,1,0,1,1,0,1,1,1,0
"92",2,0.6,28,872,0,1,1,0,1,1,0,0,0,0
"93",2,0.6,29,800,1,0,0,0,1,1,1,0,0,1
"94",2,0.6,30,792,0,0,1,1,1,1,0,1,0,0
"95",2,0.6,31,889,1,1,0,1,1,1,1,1,1,0
"96",2,0.6,32,1800,0,1,1,0,1,1,0,0,0,0
"97",2,0.6,33,663,0,0,1,1,0,1,1,0,0,0
"98",2,0.6,34,1577,0,1,1,0,0,0,1,1,0,0
"99",2,0.6,35,816,1,1,1,1,1,0,1,0,0,0
"100",2,0.6,36,904,0,1,1,0,1,1,1,0,0,0
"101",2,0.6,37,904,1,1,1,1,1,1,1,0,0,0
"102",2,0.6,38,744,1,1,0,1,0,1,1,0,1,0
"103",2,0.6,39,777,0,1,1,0,1,0,0,0,0,0
"104",2,0.6,40,1031,0,1,0,0,0,1,1,0,0,1
"105",2,0.6,41,880,1,1,1,1,1,0,0,0,0,0
"106",2,0.6,42,824,0,1,1,0,1,1,1,0,0,0
"107",2,0.6,43,984,1,1,1,1,1,1,1,0,0,0
"108",2,0.6,44,1024,1,1,0,1,0,1,1,0,1,0
"109",2,0.6,45,792,0,1,1,0,1,0,0,0,0,0
"110",2,0.6,46,769,1,1,1,1,1,1,1,0,0,0
"111",2,0.6,47,772,1,1,0,1,0,1,1,0,1,0
"112",2,0.6,48,763,1,1,0,1,0,0,0,0,2,0
"113",2,0.6,49,721,1,1,0,1,0,0,0,0,3,0
"114",2,0.6,50,713,0,1,1,0,1,0,0,0,0,0
"115",2,0.6,51,999,0,1,0,0,0,1,1,0,0,1
"116",2,0.6,52,871,1,1,1,1,1,0,0,0,0,0
"117",2,0.6,53,680,1,1,0,1,0,1,1,0,1,0
"118",2,0.6,54,867,0,1,1,0,1,0,0,0,0,0
"119",2,0.6,55,917,0,1,0,0,0,1,1,0,0,1
"120",2,0.6,56,688,0,1,0,0,0,0,0,0,0,2
"121",2,0.6,57,747,1,1,1,1,1,0,0,0,0,0
"122",2,0.6,58,653,1,1,0,1,0,1,1,0,1,0
"123",2,0.6,59,608,1,1,0,1,0,0,0,0,2,0
"124",2,0.6,60,715,1,1,0,1,0,0,0,0,3,0
"125",2,0.6,61,565,1,1,0,1,0,0,0,0,4,0
"126",2,0.6,62,585,1,1,0,1,0,0,0,0,5,0
"127",2,0.6,63,607,1,1,0,1,0,0,0,0,6,0
"128",2,0.6,64,761,0,1,1,0,1,0,0,0,0,0
"129",2,0.6,65,1088,1,1,1,1,1,1,1,0,0,0
"130",2,0.6,66,784,0,1,1,0,1,1,1,0,0,0
"131",2,0.6,67,1408,0,1,0,0,0,1,1,0,0,1
"132",2,0.6,68,944,0,1,0,0,0,0,0,0,0,2
"133",2,0.6,69,800,1,1,1,1,1,0,0,0,0,0
"134",2,0.6,70,703,1,1,0,1,0,1,1,0,1,0
"135",2,0.6,71,705,1,1,0,1,0,0,0,0,2,0
"136",3,0.7,2,664,0,1,0,0,1,0,0,0,0,0
"137",3,0.7,3,640,0,1,0,0,0,1,0,0,0,1
"138",3,0.7,4,664,0,1,0,0,0,0,0,0,0,2
"139",3,0.7,5,697,0,1,0,0,0,0,0,0,0,3
"140",3,0.7,6,647,0,1,0,0,0,0,0,0,0,4
"141",3,0.7,7,810,1,1,1,1,1,0,0,0,0,0
"142",3,0.7,8,631,1,1,0,1,0,1,1,0,1,0
"143",3,0.7,9,630,1,1,0,1,0,0,0,0,2,0
"144",3,0.7,10,697,0,1,1,0,1,0,0,0,0,0
"145",3,0.7,11,872,1,1,1,1,1,1,1,0,0,0
"146",3,0.7,12,779,1,1,0,1,0,1,1,0,1,0
"147",3,0.7,13,686,0,1,1,0,1,0,0,0,0,0
"148",3,0.7,14,855,1,0,0,0,1,1,1,0,0,1
"149",3,0.7,15,1496,0,1,0,0,1,1,0,1,0,2
"150",3,0.7,16,720,0,1,0,0,0,1,0,0,0,3
"151",3,0.7,17,720,0,1,0,0,0,0,0,0,0,4
"152",3,0.7,18,744,0,1,0,0,0,0,0,0,0,5
"153",3,0.7,19,776,1,1,1,1,1,0,0,0,0,0
"154",3,0.7,20,616,1,1,0,1,0,1,1,0,1,0
"155",3,0.7,21,600,1,1,0,1,0,0,0,0,2,0
"156",3,0.7,22,599,1,1,0,1,0,0,0,0,3,0
"157",3,0.7,23,722,0,1,1,0,1,0,0,0,0,0
"158",3,0.7,24,831,1,1,1,1,1,1,1,0,0,0
"159",3,0.7,25,648,1,1,0,1,0,1,1,0,1,0
"160",3,0.7,26,673,1,1,0,1,0,0,0,0,2,0
"161",3,0.7,27,664,1,1,0,1,0,0,0,0,3,0
"162",3,0.7,28,794,0,1,1,0,1,0,0,0,0,0
"163",3,0.7,29,846,0,1,0,0,0,1,1,0,0,1
"164",3,0.7,30,864,1,1,1,1,1,0,0,0,0,0
"165",3,0.7,31,624,1,1,0,1,0,1,1,0,1,0
"166",3,0.7,32,647,1,1,0,1,0,0,0,0,2,0
"167",3,0.7,33,584,1,1,0,1,0,0,0,0,3,0
"168",3,0.7,34,813,0,1,1,0,1,0,0,0,0,0
"169",3,0.7,35,868,1,1,1,1,1,1,1,0,0,0
"170",3,0.7,36,600,1,1,0,1,0,1,1,0,1,0
"171",3,0.7,37,607,1,1,0,1,0,0,0,0,2,0
"172",3,0.7,38,672,1,1,0,1,0,0,0,0,3,0
"173",3,0.7,39,651,1,1,0,1,0,0,0,0,4,0
"174",3,0.7,40,653,1,1,0,1,0,0,0,0,5,0
"175",3,0.7,41,754,0,1,1,0,1,0,0,0,0,0
"176",3,0.7,42,1038,0,1,0,0,0,1,1,0,0,1
"177",3,0.7,43,808,0,1,0,0,0,0,0,0,0,2
"178",3,0.7,44,953,1,1,1,1,1,0,0,0,0,0
"179",3,0.7,45,647,1,1,0,1,0,1,1,0,1,0
"180",3,0.7,46,649,1,1,0,1,0,0,0,0,2,0
"181",3,0.7,47,712,0,1,1,0,1,0,0,0,0,0
"182",3,0.7,48,1256,0,1,0,0,0,1,1,0,0,1
"183",3,0.7,49,884,1,1,1,1,1,0,0,0,0,0
"184",3,0.7,50,588,1,1,0,1,0,1,1,0,1,0
"185",3,0.7,51,775,0,1,1,0,1,0,0,0,0,0
"186",3,0.7,52,816,0,1,0,0,0,1,1,0,0,1
"187",3,0.7,53,674,0,1,0,0,0,0,0,0,0,2
"188",3,0.7,54,791,1,1,1,1,1,0,0,0,0,0
"189",3,0.7,55,616,1,1,0,1,0,1,1,0,1,0
"190",3,0.7,56,664,1,1,0,1,0,0,0,0,2,0
"191",3,0.7,57,683,1,1,0,1,0,0,0,0,3,0
"192",3,0.7,58,685,1,1,0,1,0,0,0,0,4,0
