"","trial_num","prob_same","time_taken","response","correct","switch","target","previous_actual_response_was_switch","previous_actual_response_was_not_switch","previous_target_response_was_switch","previous_target_response_was_not_switch","previous_response_was_error","previous_response_was_not_error","number_of_same_preceeding","number_of_different_preceeding"
"1",1,0.9,1867,1,1,1,1,0,0,0,0,0,0,0,0
"2",1,0.9,1036,1,1,0,1,0,0,0,0,0,0,0,0
"3",1,0.9,730,1,1,0,1,0,0,0,0,0,0,0,0
"4",1,0.9,632,1,1,0,1,0,0,0,0,0,0,0,0
"5",1,0.9,608,1,1,0,1,0,0,0,0,0,0,0,0
"6",1,0.9,584,1,1,0,1,0,0,0,0,0,0,0,0
"7",1,0.9,610,1,1,0,1,0,0,0,0,0,0,0,0
"8",1,0.9,568,1,1,0,1,0,0,0,0,0,0,0,0
"9",1,0.9,559,1,1,0,1,0,0,0,0,0,0,0,0
"10",1,0.9,574,1,1,0,1,0,0,0,0,0,0,0,0
"11",1,0.9,541,1,1,0,1,0,0,0,0,0,0,0,0
"12",1,0.9,558,1,1,0,1,0,0,0,0,0,0,0,0
"13",1,0.9,539,1,1,0,1,0,0,0,0,0,0,0,0
"14",1,0.9,556,1,1,0,1,0,0,0,0,0,0,0,0
"15",1,0.9,536,1,1,0,1,0,0,0,0,0,0,0,0
"16",1,0.9,568,1,1,0,1,0,0,0,0,0,0,0,0
"17",1,0.9,584,1,1,0,1,0,0,0,0,0,0,0,0
"18",1,0.9,557,1,1,0,1,0,0,0,0,0,0,0,0
"19",1,0.9,577,1,1,0,1,0,0,0,0,0,0,0,0
"20",1,0.9,567,1,1,0,1,0,0,0,0,0,0,0,0
"21",1,0.9,566,1,1,0,1,0,0,0,0,0,0,0,0
"22",1,0.9,548,1,1,0,1,0,0,0,0,0,0,0,0
"23",1,0.9,556,1,1,0,1,0,0,0,0,0,0,0,0
"24",1,0.9,539,1,1,0,1,0,0,0,0,0,0,0,0
"25",1,0.9,586,1,1,0,1,0,0,0,0,0,0,0,0
"26",1,0.9,533,1,1,0,1,0,0,0,0,0,0,0,0
"27",1,0.9,564,1,1,0,1,0,0,0,0,0,0,0,0
"28",1,0.9,570,1,1,0,1,0,0,0,0,0,0,0,0
"29",1,0.9,552,1,1,0,1,0,0,0,0,0,0,0,0
"30",1,0.9,906,0,1,1,0,0,0,0,0,0,0,0,0
"31",1,0.9,791,1,0,0,0,0,0,0,0,0,0,0,0
"32",1,0.9,1141,0,1,0,0,0,0,0,0,0,0,0,0
"33",1,0.9,794,0,1,0,0,0,0,0,0,0,0,0,0
"34",1,0.9,756,0,1,0,0,0,0,0,0,0,0,0,0
"35",1,0.9,520,0,1,0,0,0,0,0,0,0,0,0,0
"36",1,0.9,544,0,0,1,1,0,0,0,0,0,0,0,0
"37",1,0.9,1636,1,1,0,1,0,0,0,0,0,0,0,0
"38",1,0.9,708,1,1,0,1,0,0,0,0,0,0,0,0
"39",1,0.9,666,1,1,0,1,0,0,0,0,0,0,0,0
"40",1,0.9,617,1,1,0,1,0,0,0,0,0,0,0,0
