trial_num, prob_same,response_num, response_time,target_response, response_switch_target, actual_response, response_correct,response_switch_actual,blood sugar
1,0.25,2,11822,S,,S,correct,,normal
1,0.25,3,8229,S,same_key,S,correct,same_key,normal
1,0.25,4,982,D,different_key,D,correct,different_key,normal
1,0.25,5,884,D,same_key,S,incorrect,different_key,normal
1,0.25,6,960,D,same_key,D,correct,different_key,normal
1,0.25,7,1176,S,different_key,D,incorrect,same_key,normal
1,0.25,8,9600,D,different_key,S,incorrect,different_key,normal
1,0.25,9,1255,S,different_key,S,correct,same_key,normal
1,0.25,10,647,S,same_key,S,correct,same_key,normal
1,0.25,11,590,S,same_key,S,correct,same_key,normal
1,0.25,12,728,D,different_key,D,correct,different_key,normal
1,0.25,13,784,D,same_key,S,incorrect,different_key,normal
1,0.25,14,2290,D,same_key,D,correct,different_key,normal
1,0.25,15,844,D,same_key,D,correct,same_key,normal
1,0.25,16,652,S,different_key,D,incorrect,same_key,normal
1,0.25,17,2135,D,different_key,D,correct,same_key,normal
1,0.25,18,684,S,different_key,S,correct,different_key,normal
1,0.25,19,884,D,different_key,D,correct,different_key,normal
1,0.25,20,979,S,different_key,S,correct,different_key,normal
1,0.25,21,806,D,different_key,D,correct,different_key,normal
1,0.25,22,1098,D,same_key,D,correct,same_key,normal
1,0.25,23,980,D,same_key,D,correct,same_key,normal
1,0.25,24,1020,D,same_key,D,correct,same_key,normal
1,0.25,25,864,D,same_key,D,correct,same_key,normal
2,0.75,2,826,S,,S,correct,,normal
2,0.75,3,648,S,same_key,S,correct,same_key,normal
2,0.75,4,630,S,same_key,S,correct,same_key,normal
2,0.75,5,709,S,same_key,S,correct,same_key,normal
2,0.75,6,648,S,same_key,S,correct,same_key,normal
2,0.75,7,746,D,different_key,D,correct,different_key,normal
2,0.75,8,845,D,same_key,D,correct,same_key,normal
2,0.75,9,709,S,different_key,D,incorrect,same_key,normal
2,0.75,10,899,S,same_key,S,correct,different_key,normal
2,0.75,11,670,S,same_key,S,correct,same_key,normal
2,0.75,12,844,S,same_key,S,correct,same_key,normal
2,0.75,13,706,S,same_key,S,correct,same_key,normal
2,0.75,14,630,S,same_key,S,correct,same_key,normal
2,0.75,15,628,S,same_key,S,correct,same_key,normal
2,0.75,16,670,S,same_key,S,correct,same_key,normal
2,0.75,17,668,S,same_key,S,correct,same_key,normal
2,0.75,18,706,S,same_key,S,correct,same_key,normal
2,0.75,19,768,D,different_key,D,correct,different_key,normal
2,0.75,20,668,S,different_key,S,correct,different_key,normal
2,0.75,21,686,S,same_key,S,correct,same_key,normal
2,0.75,22,610,S,same_key,S,correct,same_key,normal
2,0.75,23,668,S,same_key,S,correct,same_key,normal
2,0.75,24,650,S,same_key,S,correct,same_key,normal
2,0.75,25,632,S,same_key,S,correct,same_key,normal
2,0.75,26,704,D,different_key,D,correct,different_key,normal
2,0.75,27,610,S,different_key,S,correct,different_key,normal
2,0.75,28,648,S,same_key,S,correct,same_key,normal
2,0.75,29,670,S,same_key,S,correct,same_key,normal
2,0.75,30,571,S,same_key,S,correct,same_key,normal
2,0.75,31,708,D,different_key,D,correct,different_key,normal
2,0.75,32,668,S,different_key,S,correct,different_key,normal
2,0.75,33,766,S,same_key,S,correct,same_key,normal
2,0.75,34,570,S,same_key,S,correct,same_key,normal
2,0.75,35,785,D,different_key,D,correct,different_key,normal
2,0.75,36,668,S,different_key,S,correct,different_key,normal
2,0.75,37,865,D,different_key,D,correct,different_key,normal
2,0.75,38,979,D,same_key,D,correct,same_key,normal
2,0.75,39,786,S,different_key,S,correct,different_key,normal
2,0.75,40,864,D,different_key,D,correct,different_key,normal
2,0.75,41,1724,D,same_key,D,correct,same_key,normal
2,0.75,42,746,S,different_key,S,correct,different_key,normal
2,0.75,43,610,S,same_key,S,correct,same_key,normal
2,0.75,44,650,S,same_key,S,correct,same_key,normal
2,0.75,45,726,S,same_key,S,correct,same_key,normal
2,0.75,46,610,S,same_key,S,correct,same_key,normal
2,0.75,47,708,D,different_key,D,correct,different_key,normal
2,0.75,48,628,S,different_key,S,correct,different_key,normal
2,0.75,49,826,D,different_key,D,correct,different_key,normal
2,0.75,50,706,S,different_key,S,correct,different_key,normal
2,0.75,51,746,S,same_key,S,correct,same_key,normal
2,0.75,52,630,S,same_key,S,correct,same_key,normal
2,0.75,53,631,S,same_key,S,correct,same_key,normal
2,0.75,54,746,S,same_key,S,correct,same_key,normal
2,0.75,55,571,S,same_key,S,correct,same_key,normal
2,0.75,56,551,S,same_key,S,correct,same_key,normal
2,0.75,57,745,D,different_key,D,correct,different_key,normal
2,0.75,58,786,S,different_key,S,correct,different_key,normal
2,0.75,59,766,S,same_key,S,correct,same_key,normal
2,0.75,60,690,D,different_key,D,correct,different_key,normal
2,0.75,61,608,S,different_key,S,correct,different_key,normal
2,0.75,62,648,S,same_key,S,correct,same_key,normal
2,0.75,63,728,D,different_key,D,correct,different_key,normal
2,0.75,64,767,D,same_key,S,incorrect,different_key,normal
2,0.75,65,1567,D,same_key,D,correct,different_key,normal
2,0.75,66,726,S,different_key,S,correct,different_key,normal
2,0.75,67,610,S,same_key,S,correct,same_key,normal
2,0.75,68,688,S,same_key,S,correct,same_key,normal
2,0.75,69,668,S,same_key,S,correct,same_key,normal
2,0.75,70,648,S,same_key,S,correct,same_key,normal
2,0.75,71,708,S,same_key,S,correct,same_key,normal
2,0.75,72,590,S,same_key,S,correct,same_key,normal
2,0.75,73,728,D,different_key,D,correct,different_key,normal
2,0.75,74,590,S,different_key,S,correct,different_key,normal
2,0.75,75,904,S,same_key,S,correct,same_key,normal
2,0.75,76,568,S,same_key,S,correct,same_key,normal
2,0.75,77,768,D,different_key,D,correct,different_key,normal
2,0.75,78,1527,S,different_key,S,correct,different_key,normal
2,0.75,79,630,S,same_key,S,correct,same_key,normal
2,0.75,80,589,S,same_key,S,correct,same_key,normal
2,0.75,81,590,S,same_key,S,correct,same_key,normal
2,0.75,82,669,D,different_key,D,correct,different_key,normal
3,0.75,2,668,S,,S,correct,,normal
3,0.75,3,922,D,different_key,D,correct,different_key,normal
3,0.75,4,572,S,different_key,S,correct,different_key,normal
3,0.75,5,590,S,same_key,S,correct,same_key,normal
3,0.75,6,688,D,different_key,D,correct,different_key,normal
3,0.75,7,804,D,same_key,S,incorrect,different_key,normal
3,0.75,8,924,S,different_key,S,correct,same_key,normal
